"","obese","gender","age","marriage","min"
"392",0,0,47,3,240
"393",0,1,63,1,180
"394",0,0,29,5,840
"395",0,0,22,5,360
"396",0,1,80,1,360
"397",0,1,55,3,300
"398",0,0,41,1,300
"399",0,1,67,1,180
"400",0,0,73,1,360
"401",0,1,62,1,660
"402",0,1,53,3,840
"403",0,1,23,5,300
"404",0,0,43,1,180
"405",0,1,37,3,360
"406",0,1,33,5,480
"407",0,0,72,1,180
"408",0,0,72,1,720
"409",0,0,52,1,360
"410",0,0,20,5,240
"411",0,0,53,1,600
"412",0,0,60,1,120
"413",0,1,69,3,300
"414",1,1,52,1,360
"415",0,1,73,2,180
"416",0,0,24,5,240
"417",0,0,54,1,180
"418",0,0,52,5,240
"419",0,1,26,5,300
"420",0,0,60,3,420
"421",0,1,59,5,720
"422",0,0,61,3,120
"423",0,1,53,5,120
"424",0,1,80,1,540
"425",1,1,36,1,480
"426",0,0,52,1,180
"427",0,1,67,1,120
"428",1,1,27,1,240
"429",1,1,26,5,480
"430",1,0,35,5,300
"431",0,1,27,5,120
"432",0,0,46,1,540
"433",0,0,52,1,120
"434",0,0,80,2,180
"435",0,1,39,1,120
"436",0,1,56,1,360
"437",0,0,47,1,120
"438",0,0,51,1,300
"439",0,1,44,1,120
"440",0,0,21,1,300
"441",0,1,68,1,240
"442",1,1,67,1,600
"443",0,0,22,5,120
"444",0,1,67,1,240
"445",0,1,55,5,660
"446",1,0,80,2,600
"447",1,1,69,1,300
"448",0,0,40,1,480
"449",0,1,60,3,480
"450",0,1,20,5,360
"451",0,0,54,5,300
"452",1,1,56,1,180
"453",0,1,63,1,240
"454",1,1,44,1,720
"455",0,1,47,1,240
"456",0,1,44,1,300
"457",0,0,33,1,600
"458",0,1,59,3,600
"459",1,0,64,1,300
"460",1,0,49,1,120
"461",0,1,26,1,360
"462",0,1,80,2,600
"463",0,0,66,5,300
"464",0,0,80,1,360
"465",0,0,71,1,720
"466",0,1,70,3,60
"467",1,1,45,1,120
"468",0,1,80,2,480
"469",1,1,74,1,600
"470",0,1,31,5,600
"471",0,1,80,1,360
"472",0,0,54,1,480
"473",0,1,44,3,300
"474",0,1,40,5,180
"475",0,1,52,3,180
"476",0,0,80,1,240
"477",0,0,34,1,180
"478",0,0,39,5,120
"479",0,1,25,5,420
"480",0,0,30,5,840
"481",0,1,66,1,180
"482",0,1,80,2,180
"483",0,1,30,3,120
"484",0,1,45,1,300
